,Team,Date,Opponent,Result,MP,FGM,FGA,3FG,3FGA,FT,FTA,PTS,ORebs,DRebs,Tot Reb,AST,TO,STL,BLK,Fouls,Points Scored,Ranking,Record,Points,Predicted Points Scored,Offensive Efficiency
66,Cincinnati,2024-11-19,@ Northern Ky.,W 76-60,0,31,58,11,22,3,6,76,6,21,27,19,10,10,6,10,76,19,8-1,325,77.97197582410533,91.82089922342104
67,Cincinnati,2024-11-23,@ Georgia Tech,W 81-58,0,32,62,9,22,8,12,81,9,27,36,16,12,4,5,20,81,19,8-1,325,76.64892135593058,90.26285160816728
68,Cincinnati,2024-11-27,Alabama St.,W 77-59,0,31,69,10,31,5,12,77,15,37,52,16,10,6,5,10,77,19,8-1,325,81.42976687207243,95.8928427646142
69,Cincinnati,2024-12-03,@ Villanova,L 60-68,0,23,60,8,26,6,11,60,13,20,33,10,6,6,0,15,60,19,8-1,325,69.87857887239247,82.29000074324395
70,Cincinnati,2024-12-08,Howard,W 84-67,0,34,64,8,23,8,13,84,14,23,37,19,13,9,2,12,84,19,8-1,325,82.36851966021692,96.9983312974477
71,Cincinnati,2024-12-14,Xavier,W 68-65,0,22,58,5,20,19,26,68,12,24,36,13,10,9,4,16,68,19,8-1,325,79.72248994317489,93.88232935671478
72,Florida,2024-11-04,"South Fla.
@Jacksonville, FL (2024-25 MBB Jacksonville Sports Foundation Invitational)",W 98-83,0,33,63,5,26,27,33,98,11,26,37,12,10,8,5,16,98,7,10-0,1169,84.84100449902826,99.90996434017158
73,Florida,2024-11-07,Jacksonville,W 81-60,0,30,57,7,24,14,25,81,12,23,35,19,10,10,10,7,81,7,10-0,1169,89.78676724074606,105.73416434909102
74,Florida,2024-11-11,Grambling,W 86-62,0,29,64,7,23,21,26,86,17,28,45,13,12,11,5,18,86,7,10-0,1169,80.93690255593621,95.31243878966742
75,Florida,2024-11-15,@ Florida St.,W 87-74,0,32,61,10,28,13,17,87,13,34,47,12,19,2,4,21,87,7,10-0,1169,72.55772142050132,85.44499682119418
76,Florida,2024-11-19,Florida A&M,W 84-60,0,28,68,10,34,18,26,84,19,28,47,17,7,11,5,17,84,7,10-0,1169,93.26585745798889,109.83119009263879
77,Florida,2024-11-22,Southern Ill.,W 93-68,0,35,75,16,39,7,14,93,16,30,46,25,6,7,9,14,93,7,10-0,1169,101.78016148352658,119.85775468361548
78,Florida,2024-11-28,"Wake Forest
@Kissimmee, FL (2024-25 MBB ESPN Events Invitational)",W 75-58,0,23,58,8,27,21,27,75,15,29,44,8,11,10,1,17,75,7,10-0,1169,74.344490364568,87.54912114810351
79,Florida,2024-11-29,"Wichita St.
@Kissimmee, FL (2024-25 MBB ESPN Events Invitational)",W 88-51,0,35,78,14,33,4,5,88,20,36,56,20,8,6,8,16,88,7,10-0,1169,86.45624755689653,101.81209736258504
80,Florida,2024-12-04,Virginia,W 87-69,0,31,60,10,25,15,21,87,11,19,30,14,6,9,3,12,87,7,10-0,1169,81.70479488625168,96.21671963584467
81,Florida,2024-12-14,"Arizona St.
@Atlanta, GA (2024-25 MBB Holiday Hoopsgiving)",W 83-66,0,32,67,10,30,9,10,83,12,35,47,17,14,7,5,19,83,7,10-0,1169,79.67876314694367,93.83083606431485
82,Florida,2024-12-17,"North Carolina
@Charlotte, NC (2024-25 MBB Jumpman Invitational )",W 90-84,0,30,65,11,32,19,27,90,16,30,46,14,17,7,3,20,90,7,10-0,1169,84.26125942174892,99.22724835467153
83,UCLA,2024-11-04,Rider,W 85-50,0,34,65,10,29,7,12,85,15,30,45,21,9,6,9,13,85,18,9-1,436,88.51858545072639,104.24073557410321
84,UCLA,2024-11-08,"New Mexico
@Henderson, NV (2024-25 MBB Las Vegas Hoopfest)",L 64-72,0,20,55,5,23,19,27,64,14,20,34,13,21,12,3,24,64,18,9-1,436,76.85058971143427,90.50033910994651
85,UCLA,2024-11-11,Boston U.,W 71-40,0,24,60,5,22,18,21,71,11,25,36,14,15,14,2,15,71,18,9-1,436,77.42662005164243,91.17868056864191
86,UCLA,2024-11-15,Lehigh,W 85-45,0,31,56,3,13,20,26,85,11,36,47,14,8,5,0,19,85,18,9-1,436,79.49100654395626,93.60973123864865
87,UCLA,2024-11-20,Idaho St.,W 84-70,0,27,47,9,14,21,26,84,8,17,25,16,11,7,0,18,84,18,9-1,436,80.52005266017107,94.82155046901374
88,UCLA,2024-11-22,Cal St. Fullerton,W 80-47,0,30,60,6,18,14,23,80,12,24,36,22,7,14,4,14,80,18,9-1,436,92.97539678015177,109.48913949886887
89,UCLA,2024-11-26,Southern Utah,W 88-43,0,38,0,6,20,6,9,88,20,21,41,21,8,15,4,20,88,18,9-1,436,75.22218672814493,88.58270877361863
90,UCLA,2024-12-03,Washington,W 69-58,0,25,60,8,21,11,22,69,12,23,35,16,8,6,3,17,69,18,9-1,436,83.47143696271924,98.29714227939957
91,UCLA,2024-12-08,@ Oregon,W 73-71,0,28,62,12,23,5,7,73,6,17,23,10,9,7,1,15,73,18,9-1,436,65.54619368378852,77.18812279805454
92,UCLA,2024-12-14,"Arizona
@Phoenix, AZ",W 57-54,0,23,51,4,21,7,16,57,8,16,24,10,14,10,1,16,57,18,9-1,436,66.84685692260176,78.71980218558338
93,UCLA,2024-12-17,Prairie View,W 111-75,0,36,61,10,21,29,37,111,12,27,39,26,10,6,4,20,111,18,9-1,436,107.52189452974517,126.61930055740407
94,Kentucky,2024-11-04,Wright St.,W 103-62,0,39,65,11,24,14,19,103,7,34,41,30,7,11,4,14,103,4,10-1,1325,105.79315614354286,124.58351383447652
95,Kentucky,2024-11-09,Bucknell,W 100-72,0,38,0,13,36,11,16,100,22,35,0,23,15,9,6,13,100,4,10-1,1325,85.10121845891234,100.2163959719792
96,Kentucky,2024-11-12,"Duke
@Atlanta, GA (2024-25 MBB Champions Classic)",W 77-72,0,25,63,10,25,17,24,77,10,33,43,17,11,4,8,18,77,4,10-1,1325,86.77057106124151,102.18224915764947
97,Kentucky,2024-11-19,Lipscomb,W 97-68,0,34,62,12,25,17,21,97,9,34,43,10,8,3,6,14,97,4,10-1,1325,74.85193287923715,88.14669261539869
98,Kentucky,2024-11-22,Jackson St.,W 108-59,0,41,71,17,39,9,10,108,4,37,41,29,10,13,9,11,108,4,10-1,1325,103.39014289429741,121.75369151614433
99,Kentucky,2024-11-26,Western Ky.,W 87-68,0,25,62,8,29,29,42,87,16,38,54,16,11,5,7,20,87,4,10-1,1325,97.05469824768977,114.29298248211879
100,Kentucky,2024-11-29,Georgia St.,W 105-76,0,40,67,7,26,18,22,105,7,29,36,23,9,10,2,20,105,4,10-1,1325,96.64294381943407,113.80809465592144
101,Kentucky,2024-12-03,@ Clemson,L 66-70,0,24,63,7,27,11,18,66,15,29,44,11,12,6,6,20,66,4,10-1,1325,74.15834815935281,87.3299174600394
102,Kentucky,2024-12-07,"Gonzaga
@Seattle, WA",W 90-89 (1 OT),0,34,75,7,25,15,18,90,16,27,43,17,7,1,4,21,90,4,10-1,1325,86.59160724375913,101.97149884029496
103,Kentucky,2024-12-11,Colgate,W 78-67,0,30,70,10,31,8,13,78,16,30,46,15,6,6,4,6,78,4,10-1,1325,82.07525001906669,96.65297282883469
104,Kentucky,2024-12-14,Louisville,W 93-85,0,32,55,11,21,18,28,93,7,34,41,23,11,6,2,18,93,4,10-1,1325,96.13013497350792,113.20420372119784
