Date,Opponent,Result,MP,FGM,FGA,3FG,3FGA,FT,FTA,PTS,ORebs,DRebs,Tot Reb,AST,TO,STL,BLK,Fouls,DQ,Tech Fouls
Oklahoma (5-0),01/08/2025 09:00 PM,Texas A&M,,,,,,,,,,,,,,,,,,
Oklahoma (5-0),01/11/2025 06:00 PM,@ Georgia,,,,,,,,,,,,,,,,,,
Oklahoma (5-0),01/15/2025 10:00 PM,Texas,,,,,,,,,,,,,,,,,,
Oklahoma (5-0),01/18/2025 TBA,South Carolina,,,,,,,,,,,,,,,,,,
Oklahoma (5-0),01/25/2025 08:30 PM,@ Arkansas,,,,,,,,,,,,,,,,,,
Oklahoma (5-0),01/28/2025 TBA,@ Texas A&M,,,,,,,,,,,,,,,,,,
Oklahoma (5-0),02/01/2025 03:30 PM,Vanderbilt,,,,,,,,,,,,,,,,,,
Oklahoma (5-0),02/04/2025 TBA,@ Auburn,,,,,,,,,,,,,,,,,,
Oklahoma (5-0),02/08/2025 12:00 PM,Tennessee,,,,,,,,,,,,,,,,,,
Oklahoma (5-0),02/12/2025 09:00 PM,@ Missouri,,,,,,,,,,,,,,,,,,
Oklahoma (5-0),02/15/2025 06:00 PM,LSU,,,,,,,,,,,,,,,,,,
Oklahoma (5-0),02/18/2025 07:00 PM,@ Florida,,,,,,,,,,,,,,,,,,
Oklahoma (5-0),02/22/2025 01:00 PM,Mississippi St.,,,,,,,,,,,,,,,,,,
Oklahoma (5-0),02/26/2025 09:00 PM,Kentucky,,,,,,,,,,,,,,,,,,
Oklahoma (5-0),03/01/2025 02:00 PM,@ Ole Miss,,,,,,,,,,,,,,,,,,
Oklahoma (5-0),03/05/2025 08:00 PM,Missouri,,,,,,,,,,,,,,,,,,
Oklahoma (5-0),03/08/2025 08:00 PM,@ Texas,,,,,,,,,,,,,,,,,,
Oklahoma (5-0),Totals,1998:32,277,579,96,264,165,209,815,98,240,338,155,113,102,19,164,3,1,MISSING
Oklahoma (5-0),Defensive Totals,2000:00,240,568,68,238,111,164,659,112,223,335,105,155,67,29,175,4,1,MISSING
Tennessee (7-0),11/04/2024,Gardner-Webb,W 80-64,200:00/,28,55,8,23,16,21,80,8,21,29,16,11,9,2,15,
Tennessee (7-0),11/09/2024,@ Louisville,W 77-55,200:00,30,53,10,19,7,11,77,12,28,40,12,20/,8,4,18,
Tennessee (7-0),11/13/2024,Montana,W 92-57,200:00/,31,51,9,21,21,25,92,7,31,38,24,13,6,6,16,
Tennessee (7-0),11/17/2024,Austin Peay,W 103-68,200:00,37,58,5,14,24,33,103,13,30,43,22,11,10,10,17,
Tennessee (7-0),11/21/2024,"Virginia
@Nassau, Bahamas (2024-25 MBB Baha Mar Championship)",W 64-42,200:00,25,66,9,25,5,10,64,18,25,43,11,7,8,7,12,
Tennessee (7-0),11/22/2024,"Baylor
@Nassau, Bahamas (2024-25 MBB Baha Mar Championship)",W 77-62,200:00,24,46,12,27,17,22,77,9,19,28,18,15,8,4,14,
Tennessee (7-0),11/27/2024,UT Martin,W 78-35,200:00,30,63,10,37,8,10,78,20,29,49,22,11,6,9,8,
Tennessee (7-0),12/03/2024,Syracuse,W 96-70,200:00,35,65,10,29,16,24,96,13,27,40,16,8,9,3,18,1
Tennessee (7-0),12/10/2024,"Miami (FL)
@New York, NY (2024-25 MBB Jimmy V Classic)",W 75-62,200:00,25,52,10,25,15,18,75,5,30,35,16,11,5,5,10,
Tennessee (7-0),12/14/2024,@ Illinois,W 66-64,200:00,20,62,6,24,20,28,66,17,25,42,6,6,7,4,24,2
Tennessee (7-0),12/17/2024,Western Caro.,W 84-36,200:00,32,69,8,27,12,14,84,14,34,48,22,10,17,6,8,
Tennessee (7-0),12/23/2024 07:00 PM,Middle Tenn.,,,,,,,,,,,,,,,,,,
Tennessee (7-0),12/31/2024 03:00 PM,Norfolk St.,,,,,,,,,,,,,,,,,,
Tennessee (7-0),01/04/2025 01:00 PM,Arkansas,,,,,,,,,,,,,,,,,,
Tennessee (7-0),01/07/2025 07:00 PM,@ Florida,,,,,,,,,,,,,,,,,,
Tennessee (7-0),01/11/2025 06:00 PM,@ Texas,,,,,,,,,,,,,,,,,,
Tennessee (7-0),01/15/2025 08:00 PM,Georgia,,,,,,,,,,,,,,,,,,
Tennessee (7-0),01/18/2025 03:30 PM,@ Vanderbilt,,,,,,,,,,,,,,,,,,
Tennessee (7-0),01/21/2025 07:00 PM,Mississippi St.,,,,,,,,,,,,,,,,,,
Tennessee (7-0),01/25/2025 TBA,@ Auburn,,,,,,,,,,,,,,,,,,
Tennessee (7-0),01/28/2025 07:00 PM,Kentucky,,,,,,,,,,,,,,,,,,
Tennessee (7-0),02/01/2025 12:00 PM,Florida,,,,,,,,,,,,,,,,,,
Tennessee (7-0),02/05/2025 07:00 PM,Missouri,,,,,,,,,,,,,,,,,,
Tennessee (7-0),02/08/2025 12:00 PM,@ Oklahoma,,,,,,,,,,,,,,,,,,
Tennessee (7-0),02/11/2025 07:00 PM,@ Kentucky,,,,,,,,,,,,,,,,,,
Tennessee (7-0),02/15/2025 01:00 PM,Vanderbilt,,,,,,,,,,,,,,,,,,
Tennessee (7-0),02/22/2025 TBA,@ Texas A&M,,,,,,,,,,,,,,,,,,
Tennessee (7-0),02/25/2025 09:00 PM,@ LSU,,,,,,,,,,,,,,,,,,
Tennessee (7-0),03/01/2025 01:00 PM,Alabama,,,,,,,,,,,,,,,,,,
Tennessee (7-0),03/05/2025 09:00 PM,@ Ole Miss,,,,,,,,,,,,,,,,,,
Tennessee (7-0),03/08/2025 02:00 PM,South Carolina,,,,,,,,,,,,,,,,,,
Tennessee (7-0),Totals,2200:00,317,640,97,271,161,216,892,136,299,435,185,123,93,60,160,3,2,MISSING
Tennessee (7-0),Defensive Totals,2200:00,210,619,75,307,120,161,615,116,204,320,99,161,66,21,186,3,2,MISSING
Marquette (7-0),11/04/2024,Stony Brook,W 102-62,200:00,40,68,9,31,13,17,102/,13,30,43,22,7,10,2,16,
Marquette (7-0),11/08/2024,George Mason,W 82-63,200:00,26,67,11,35,19,26,82,14,27,41,16,9,13,7,15,
Marquette (7-0),11/11/2024,Central Mich.,W 70-62,200:00,20,55,10,36,20,25,70,6,21,27,16,12,19/,6,21,1
Marquette (7-0),11/15/2024,@ Maryland,W 78-74,200:00,26,58,8,23,18,24,78,10,20,30,10,8,7,,18,
Marquette (7-0),11/19/2024,Purdue,W 76-58,200:00,27,60,8,25,14,15,76,6,27,33,13,6,11,5,17,
Marquette (7-0),11/23/2024,"Georgia
@Paradise Island, Bahamas",W 80-69,200:00,29,58,11,27,11,15,80,8,23,31,13,13,13,2,18,
Marquette (7-0),11/27/2024,Stonehill,W 94-59,200:00,37,61,10,21,10,17,94,12,20,32,15,10,11,2,7,
Marquette (7-0),11/30/2024,Western Caro.,W 94-62,200:00,37,72,14,40,6,10,94,9,29,38,21,13,15,5,16,
Marquette (7-0),12/04/2024,@ Iowa St.,L 70-81,200:00,27,70,11,31,5,10,70,16,21,37,15,11,4,5,19,
Marquette (7-0),12/07/2024,Wisconsin,W 88-74,200:00,31,62,8,26,18,21,88,11,19,30,17,5,9,3,17,
Marquette (7-0),12/14/2024,@ Dayton,L 63-71,200:00,22,54,9,29,10,15,63,11,20,31,8,13,2,4,17,
Marquette (7-0),12/18/2024 09:00 PM,Butler,,,,,,,,,,,,,,,,,,
Marquette (7-0),12/21/2024 12:00 PM,@ Xavier,,,,,,,,,,,,,,,,,,
Marquette (7-0),12/31/2024 TBA,@ Providence,,,,,,,,,,,,,,,,,,
Marquette (7-0),01/03/2025 TBA,Creighton,,,,,,,,,,,,,,,,,,
Marquette (7-0),01/07/2025 TBA,Georgetown,,,,,,,,,,,,,,,,,,
Marquette (7-0),01/14/2025 TBA,@ DePaul,,,,,,,,,,,,,,,,,,
Marquette (7-0),01/18/2025 TBA,Xavier,,,,,,,,,,,,,,,,,,
Marquette (7-0),01/21/2025 TBA,@ Seton Hall,,,,,,,,,,,,,,,,,,
Marquette (7-0),01/24/2025 06:00 PM,Villanova,,,,,,,,,,,,,,,,,,
Marquette (7-0),01/28/2025 08:30 PM,@ Butler,,,,,,,,,,,,,,,,,,
Marquette (7-0),02/01/2025 TBA,UConn,,,,,,,,,,,,,,,,,,
Marquette (7-0),02/04/2025 TBA,@ St. John's (NY),,,,,,,,,,,,,,,,,,
Marquette (7-0),02/08/2025 02:00 PM,@ Creighton,,,,,,,,,,,,,,,,,,
Marquette (7-0),02/11/2025 TBA,DePaul,,,,,,,,,,,,,,,,,,
Marquette (7-0),02/18/2025 TBA,Seton Hall,,,,,,,,,,,,,,,,,,
Marquette (7-0),02/21/2025 07:00 PM,@ Villanova,,,,,,,,,,,,,,,,,,
Marquette (7-0),02/25/2025 TBA,Providence,,,,,,,,,,,,,,,,,,
Marquette (7-0),03/01/2025 08:00 PM,@ Georgetown,,,,,,,,,,,,,,,,,,
Marquette (7-0),03/04/2025 TBA,@ UConn,,,,,,,,,,,,,,,,,,
Marquette (7-0),03/08/2025 TBA,St. John's (NY),,,,,,,,,,,,,,,,,,
Marquette (7-0),Totals,2200:00,322,685,109,324,144,195,897,116,257,373,166,107,114,41,181,1,1,MISSING
Marquette (7-0),Defensive Totals,2200:00,268,615,76,247,123,176,735,110,268,378,167,179,63,21,168,3,1,MISSING
Cincinnati (6-0),11/04/2024,Ark.-Pine Bluff,W 109-54,200:00,42/,72,12,24,13,23,109,17,31,48,27,9,10,7,12,
Cincinnati (6-0),11/08/2024,Morehead St.,W 83-56,200:00,33,55,6,16,11,15,83,5,25,30,18,4,3,5,14,
Cincinnati (6-0),11/15/2024,Nicholls,W 86-49,200:00,33,61,11,27,9,14,86,15,31,46,18,12,6,14/,6,
Cincinnati (6-0),11/19/2024,@ Northern Ky.,W 76-60,200:00,31,58,11,22,3,6,76,6,21,27,19,10,10,6,10,
Cincinnati (6-0),11/23/2024,@ Georgia Tech,W 81-58,200:00,32,62,9,22,8,12,81,9,27,36,16,12,4,5,20,1
Cincinnati (6-0),11/27/2024,Alabama St.,W 77-59,200:00,31,69,10,31,5,12,77,15,37,52,16,10,6,5,10,
Cincinnati (6-0),12/03/2024,@ Villanova,L 60-68,200:00,23,60,8,26,6,11,60,13,20,33,10,6,6,,15,
Cincinnati (6-0),12/08/2024,Howard,W 84-67,200:00,34,64,8,23,8,13,84,14,23,37,19,13,9,2,12,
Cincinnati (6-0),12/14/2024,Xavier,W 68-65,167:21,22,58,5,20,19,26,68,12,24,36,13,10,9,4,16,
Cincinnati (6-0),,Defensive Totals,,166:43,22,58,6,19,15,17,65,9,28,37,13,14,7,,20,
Cincinnati (6-0),12/20/2024 08:30 PM,"Dayton
@Cincinnati, OH",,,,,,,,,,,,,,,,,,
Cincinnati (6-0),12/22/2024 02:00 PM,Grambling,,,,,,,,,,,,,,,,,,
Cincinnati (6-0),12/30/2024 07:00 PM,@ Kansas St.,,,,,,,,,,,,,,,,,,
Cincinnati (6-0),01/04/2025 02:30 PM,Arizona,,,,,,,,,,,,,,,,,,
Cincinnati (6-0),01/07/2025 TBA,@ Baylor,,,,,,,,,,,,,,,,,,
Cincinnati (6-0),01/11/2025 02:00 PM,Kansas,,,,,,,,,,,,,,,,,,
Cincinnati (6-0),01/15/2025 09:00 PM,@ Colorado,,,,,,,,,,,,,,,,,,
Cincinnati (6-0),01/18/2025 02:00 PM,Arizona St.,,,,,,,,,,,,,,,,,,
Cincinnati (6-0),01/21/2025 07:00 PM,Texas Tech,,,,,,,,,,,,,,,,,,
Cincinnati (6-0),01/25/2025 10:00 PM,@ BYU,,,,,,,,,,,,,,,,,,
Cincinnati (6-0),01/28/2025 TBA,@ Utah,,,,,,,,,,,,,,,,,,
Cincinnati (6-0),02/02/2025 02:00 PM,West Virginia,,,,,,,,,,,,,,,,,,
Cincinnati (6-0),02/05/2025 TBA,@ UCF,,,,,,,,,,,,,,,,,,
Cincinnati (6-0),02/08/2025 06:00 PM,BYU,,,,,,,,,,,,,,,,,,
Cincinnati (6-0),02/11/2025 07:00 PM,Utah,,,,,,,,,,,,,,,,,,
Cincinnati (6-0),02/15/2025 04:00 PM,@ Iowa St.,,,,,,,,,,,,,,,,,,
Cincinnati (6-0),02/19/2025 TBA,@ West Virginia,,,,,,,,,,,,,,,,,,
Cincinnati (6-0),02/22/2025 12:00 PM,TCU,,,,,,,,,,,,,,,,,,
Cincinnati (6-0),02/25/2025 07:00 PM,Baylor,,,,,,,,,,,,,,,,,,
Cincinnati (6-0),03/01/2025 04:30 PM,@ Houston,,,,,,,,,,,,,,,,,,
Cincinnati (6-0),03/05/2025 07:00 PM,Kansas St.,,,,,,,,,,,,,,,,,,
Cincinnati (6-0),03/08/2025 03:00 PM,@ Oklahoma St.,,,,,,,,,,,,,,,,,,
Cincinnati (6-0),Totals,1767:21,281,559,80,211,82,132,724,106,239,345,156,86,63,48,115,1,,MISSING
Cincinnati (6-0),Defensive Totals,1766:43,199,529,49,172,89,124,536,92,187,279,95,111,50,19,131,3,,MISSING
Florida (10-0),11/04/2024,"South Fla.
@Jacksonville, FL (2024-25 MBB Jacksonville Sports Foundation Invitational)",W 98-83,200:00,33,63,5,26,27,33,98,11,26,37,12,10,8,5,16,
Florida (10-0),11/07/2024,Jacksonville,W 81-60,200:00,30,57,7,24,14,25,81,12,23,35,19,10,10,10,7,
Florida (10-0),11/11/2024,Grambling,W 86-62,200:00,29,64,7,23,21,26,86,17,28,45,13,12,11,5,18,
Florida (10-0),11/15/2024,@ Florida St.,W 87-74,200:00,32,61,10,28,13,17,87,13,34,47,12,19,2,4,21,
Florida (10-0),11/19/2024,Florida A&M,W 84-60,200:00,28,68,10,34,18,26,84,19,28,47,17,7,11,5,17,
Florida (10-0),11/22/2024,Southern Ill.,W 93-68,200:00,35,75,16,39,7,14,93,16,30,46,25,6,7,9,14,
